lemma,Level,pos,is_stop,frequency
point,B2,NOUN,False,64
view,A1,NOUN,False,21
enjoy,A2,VERB,False,7
much,B1,ADJ,True,222
please,B1,VERB,True,15
perhaps,B2,ADV,True,63
possible,A2,ADJ,False,27
everybody,B2,PRON,False,3
all,A2,DET,True,880
nor,A1,CCONJ,True,90
displease,Advanced / Unknown,VERB,False,1
same,B1,ADJ,True,64
letter,A2,NOUN,False,30
passage,B1,NOUN,False,45
blemish,Advanced / Unknown,NOUN,False,2
specially,B1,ADV,False,4
approve,A1,VERB,False,5
most,A2,ADV,True,105
critical,A1,ADJ,False,1
defect,Advanced / Unknown,NOUN,False,1
minor,B2,ADJ,False,2
major,A1,ADJ,False,1
fortunately,A1,ADV,False,2
under,A2,ADP,True,202
obligation,A1,NOUN,False,1
either,B1,ADV,True,59
again,A2,ADV,True,418
he,A2,PRON,True,3892
will,C1,AUX,True,671
pass_over,Advanced / Unknown,VERB,False,10
over,A2,ADP,True,324
silence,B2,NOUN,False,55
except,B2,SCONJ,True,49
note,B1,VERB,False,25
too,B1,ADV,True,188
short,A2,ADJ,False,60
inner,A1,ADJ,False,4
message,A1,NOUN,False,33
intention,A1,NOUN,False,2
author,A2,NOUN,False,4
none,A1,NOUN,True,49
neither,B1,CCONJ,True,44
allegorical,C2,ADJ,False,2
topical,Advanced / Unknown,ADJ,False,2
put_down,Advanced / Unknown,VERB,False,4
down,A1,ADP,True,452
root,B2,NOUN,False,45
into,B1,ADP,True,460
past,A1,NOUN,False,28
throw_out,Advanced / Unknown,VERB,False,2
unexpected,B1,ADJ,False,8
branch,B1,NOUN,False,52
main,B1,ADJ,False,11
theme,B2,NOUN,False,1
settle,B2,VERB,False,12
outset,C1,NOUN,False,3
inevitable,B2,ADJ,False,3
choice,B1,NOUN,False,26
link,A2,NOUN,False,4
between,B2,ADP,True,107
crucial,B2,ADJ,False,1
shadow,A2,PROPN,False,192
part,B1,NOUN,False,89
foreshadow,Advanced / Unknown,NOUN,False,1
threat,B1,NOUN,False,8
disaster,B2,NOUN,False,6
develop,B1,VERB,False,4
along,A2,ADP,True,117
essentially,A2,ADV,False,1
line,A2,NOUN,False,61
if,A2,SCONJ,True,777
avert,Advanced / Unknown,VERB,False,1
source,B1,NOUN,False,7
mind,B1,NOUN,False,114
case,B2,NOUN,False,32
nothing,B2,PRON,True,128
modify,B1,VERB,False,2
real,B2,ADJ,False,22
resemble,A1,VERB,False,2
legendary,A2,ADJ,False,3
conclusion,B1,NOUN,False,1
inspire,B2,VERB,False,1
direct,B2,VERB,False,7
development,B2,NOUN,False,1
certainly,A2,ADV,False,22
seize,B1,VERB,False,14
use,B1,VERB,True,112
against,B1,ADP,True,101
sauron,Tolkien Lore (Names/Places),PROPN,False,60
annihilate,Advanced / Unknown,VERB,False,1
enslave,Advanced / Unknown,VERB,False,2
barad,Tolkien Lore (Names/Places),PROPN,False,3
dur,Tolkien Lore (Names/Places),X,False,3
destroy,B1,VERB,False,36
occupy,B1,VERB,False,4
saruman,Tolkien Lore (Names/Places),PROPN,False,53
possession,A2,NOUN,False,2
confusion,B1,NOUN,False,2
treachery,C2,NOUN,False,3
miss,A1,VERB,False,25
research,A2,NOUN,False,1
lore,Advanced / Unknown,NOUN,False,25
make,B1,VERB,True,327
challenge,B1,VERB,False,7
self,A1,NOUN,False,1
style,A2,VERB,False,1
ruler,A1,NOUN,False,3
earth,A1,NOUN,False,65
conflict,B2,NOUN,False,2
both,A1,DET,True,61
side,B2,NOUN,False,217
hatred,A2,NOUN,False,5
contempt,B2,NOUN,False,1
survive,A1,VERB,False,6
slave,A2,NOUN,False,3
arrangement,A2,NOUN,False,6
devise,Advanced / Unknown,VERB,False,4
accord,Advanced / Unknown,VERB,False,18
taste,B1,NOUN,False,6
allegory,C2,NOUN,False,3
cordially,Advanced / Unknown,ADV,False,1
dislike,B1,VERB,False,8
manifestation,Advanced / Unknown,NOUN,False,1
always,B2,ADV,True,45
wary,C1,ADJ,False,7
enough,A2,ADV,True,82
detect,B1,VERB,False,1
presence,A2,NOUN,False,5
true,A2,ADJ,False,48
feign,A1,VERB,False,2
varied,A2,ADJ,False,2
applicability,Advanced / Unknown,NOUN,False,2
experience,B1,NOUN,False,5
think,B2,VERB,False,391
confuse,B1,VERB,False,3
reside,Advanced / Unknown,VERB,False,1
freedom,A2,NOUN,False,3
purposed,Advanced / Unknown,ADJ,False,1
domination,C1,NOUN,False,3
can,A2,AUX,True,459
remain,B2,VERB,False,83
unaffected,Advanced / Unknown,ADJ,False,1
way,B2,NOUN,False,297
germ,B1,NOUN,False,1
soil,B1,NOUN,False,1
extremely,A1,ADV,False,2
complex,A2,ADJ,False,1
attempt,B2,VERB,False,12
define,A2,VERB,False,1
good,A1,ADJ,False,260
evidence,B2,NOUN,False,4
inadequate,B2,ADJ,False,1
ambiguous,B2,ADJ,False,1
false,A2,ADJ,False,5
naturally,A1,ADV,False,1
attractive,A1,ADJ,False,1
life,B1,NOUN,False,41
critic,B2,NOUN,False,1
overlap,B2,VERB,False,2
suppose,B1,VERB,False,37
movement,B1,NOUN,False,13
event,A1,NOUN,False,24
common,A2,ADJ,False,10
necessarily,B2,ADV,False,1
powerful,A2,ADJ,False,5
influence,B1,NOUN,False,2
personally,A2,ADV,False,2
feel,A1,VERB,False,237
fully,B1,ADV,False,9
oppression,A2,NOUN,False,1
seem,A2,VERB,True,411
forget,A2,VERB,False,75
catch,B2,VERB,False,83
youth,C1,NOUN,False,5
hideous,Advanced / Unknown,ADJ,False,5
involve,B2,VERB,False,3
following,A2,ADJ,False,3
close,B2,ADJ,False,96
friend,A2,NOUN,False,129
dead,B1,ADJ,False,34
grievous,Advanced / Unknown,ADJ,False,5
scouring,Advanced / Unknown,NOUN,False,1
shire,Tolkien Lore (Names/Places),PROPN,False,231
reflect,B1,VERB,False,3
situation,A1,NOUN,False,3
england,Tolkien Lore (Names/Places),PROPN,False,1
finish,A2,VERB,False,28
essential,A1,ADJ,False,2
plot,B1,NOUN,False,6
foresee,A2,VERB,False,8
character,B1,NOUN,False,8
without,C1,ADP,True,120
need,B1,VERB,False,140
contemporary,B2,ADJ,False,1
political,B1,ADJ,False,1
whatsoever,Advanced / Unknown,ADV,False,1
basis,A1,NOUN,False,2
slender,Advanced / Unknown,ADJ,False,17
economic,B2,ADJ,False,1
entirely,A2,ADV,False,5
different,B1,ADJ,False,21
far,A2,ADV,True,391
country,A1,NOUN,False,63
live,B2,VERB,False,98
childhood,B2,NOUN,False,3
shabbily,Advanced / Unknown,ADV,False,1
motor,B2,NOUN,False,1
car,B1,NOUN,False,1
rare,B2,ADJ,False,5
object,B2,NOUN,False,4
never,B1,ADV,True,164
see,B2,VERB,False,700
man,A2,NOUN,False,126
still,A1,ADV,True,346
build,B2,VERB,False,35
suburban,C2,ADJ,False,1
railway,B2,NOUN,False,1
recently,B1,ADV,False,2
paper,A1,NOUN,False,7
picture,B1,NOUN,False,4
decrepitude,Advanced / Unknown,NOUN,False,1
once,B1,ADV,True,161
thriving,Advanced / Unknown,ADJ,False,1
corn,B1,NOUN,False,2
mill,A2,NOUN,False,5
beside,A1,ADP,True,72
pool,A2,NOUN,False,37
ago,B1,ADV,False,92
important,B1,ADJ,False,28
look,B1,NOUN,False,446
young,C1,PROPN,False,57
miller,Tolkien Lore (Names/Places),PROPN,False,9
father,A2,NOUN,False,27
black,B1,ADJ,False,174
beard,A1,NOUN,False,10
name,B1,VERB,False,134
sandyman,Tolkien Lore (Names/Places),PROPN,False,7
issue,A2,VERB,False,6
new,B1,ADJ,False,58
edition,B2,NOUN,False,3
opportunity,A1,NOUN,False,2
number,B1,NOUN,False,24
error,B2,NOUN,False,1
inconsistency,Advanced / Unknown,NOUN,False,1
text,B1,NOUN,False,1
few,B1,ADJ,True,106
attentive,A2,ADJ,False,3
raise,B1,VERB,False,16
consider,B1,VERB,False,18
comment,B2,NOUN,False,2
enquiry,B2,NOUN,False,2
may,A2,AUX,True,269
because,A1,SCONJ,True,33
keep,B1,VERB,True,136
answer,B2,VERB,False,186
additional,B1,ADJ,False,1
appendix,Tolkien Lore (Names/Places),NOUN,False,9
production,B2,NOUN,False,1
accessory,B1,NOUN,False,2
volume,A1,NOUN,False,6
contain,B2,VERB,False,9
material,B1,NOUN,False,4
original,A1,ADJ,False,8
particular,A1,ADJ,False,3
detailed,A1,ADJ,False,1
meantime,Advanced / Unknown,NOUN,False,4
offer,B2,VERB,False,20
addition,B1,NOUN,False,5
prologue,Tolkien Lore (Names/Places),PROPN,False,2
index,B1,NOUN,False,3
person,B1,NOUN,False,8
place,B1,NOUN,False,131
item,A2,NOUN,False,6
purpose,B2,NOUN,False,31
reduce,B1,VERB,False,4
bulk,C2,NOUN,False,1
full,B1,ADJ,True,63
prepare,B1,VERB,False,13
mrs.,Advanced / Unknown,PROPN,False,6
n,Tolkien Lore (Names/Places),PROPN,False,1
smith,B2,PROPN,False,8
belong,B1,VERB,False,19
rather,A2,ADV,True,67
hobbits,Tolkien Lore (Names/Places),PROPN,False,68
concerned,B1,ADJ,False,7
page,A1,NOUN,False,9
discover,B1,VERB,False,27
further,A1,ADJ,True,32
selection,B2,NOUN,False,4
red,B1,PROPN,False,66
westmarch,Tolkien Lore (Names/Places),PROPN,False,6
publish,B2,VERB,False,1
title,B2,NOUN,False,4
derive,B2,VERB,False,3
early,B1,ADJ,False,41
compose,B1,VERB,False,2
bilbo,Tolkien Lore (Names/Places),PROPN,False,326
himself,A1,PRON,True,152
famous,A1,ADJ,False,2
large,A1,ADJ,False,83
call,B1,VERB,False,174
east,A2,PROPN,False,112
return,A1,NOUN,False,97
related,B2,ADJ,False,1
however,A1,ADV,True,30
know,B1,VERB,False,507
remarkable,B2,ADJ,False,5
possess,B1,VERB,False,20
such,B1,ADJ,True,115
collect,B1,VERB,False,6
briefly,A1,ADV,False,4
recall,B1,VERB,False,15
unobtrusive,C2,ADJ,False,1
very,B1,ADV,True,253
numerous,B2,ADJ,False,7
formerly,B1,ADV,True,1
today,B2,NOUN,False,23
love,B1,VERB,False,35
peace,B2,NOUN,False,33
quiet,B2,ADJ,False,37
farm,A1,VERB,False,9
countryside,A2,NOUN,False,1
favourite,A2,ADJ,False,9
haunt,A2,NOUN,False,5
understand,B1,VERB,False,57
machine,A1,NOUN,False,1
complicated,A1,ADJ,False,1
forge,Advanced / Unknown,NOUN,False,10
bellow,B2,NOUN,False,4
water,B1,NOUN,False,229
loom,C1,NOUN,False,12
skilful,B1,ADJ,False,4
tool,B2,NOUN,False,2
rule,A2,NOUN,False,27
shy,A2,ADJ,False,2
big,A1,PROPN,False,34
folk,A1,PROPN,False,150
we,B1,PRON,True,1313
avoid,B2,VERB,False,9
dismay,C1,NOUN,False,14
hard,A1,ADJ,False,69
quick,B2,ADJ,False,36
hear,B1,VERB,False,334
sharp,B2,ADJ,False,26
eyed,Advanced / Unknown,ADJ,False,11
inclined,Advanced / Unknown,ADJ,False,2
fat,A2,ADJ,False,15
hurry,A2,VERB,False,26
unnecessarily,Advanced / Unknown,ADV,False,2
nimble,Advanced / Unknown,ADJ,False,2
deft,Advanced / Unknown,ADJ,False,1
art,B2,NOUN,False,11
disappear,B2,VERB,False,25
swiftly,Advanced / Unknown,ADV,False,30
silently,B2,ADV,False,12
whom,C1,PRON,True,24
meet,B1,VERB,False,66
blunder,Advanced / Unknown,VERB,False,1
magical,B2,ADJ,False,3
fact,A1,NOUN,False,33
study,A2,VERB,False,16
magic,A2,NOUN,False,17
elusiveness,Advanced / Unknown,NOUN,False,1
due,A1,ADJ,True,7
solely,Advanced / Unknown,ADV,False,1
skill,B1,NOUN,False,17
heredity,Advanced / Unknown,NOUN,False,1
practice,B2,NOUN,False,2
friendship,A1,NOUN,False,16
render,C1,VERB,False,2
inimitable,Advanced / Unknown,ADJ,False,1
clumsy,A1,ADJ,False,1
race,B1,NOUN,False,13
small,A2,ADJ,False,104
dwarf,B2,NOUN,False,101
tout,Advanced / Unknown,ADJ,False,1
stocky,Advanced / Unknown,ADJ,False,1
is,A2,ADV,True,3
actually,B2,ADV,False,22
height,B2,NOUN,False,24
variable,Advanced / Unknown,ADJ,False,1
range,A2,VERB,False,6
two,A2,NUM,True,157
foot,A2,NOUN,False,194
our,B1,PRON,True,252
measure,B1,NOUN,False,8
seldom,A1,ADV,False,37
dwindle,Advanced / Unknown,VERB,False,12
tall,A2,ADJ,False,86
bandobras,Tolkien Lore (Names/Places),PROPN,False,3
took,Tolkien Lore (Names/Places),PROPN,False,16
bullroarer,Tolkien Lore (Names/Places),PROPN,False,2
isengrim,Tolkien Lore (Names/Places),PROPN,False,3
second,A2,PROPN,False,30
able,B1,ADJ,False,25
ride,A1,VERB,False,51
horse,B2,NOUN,False,87
surpass,Advanced / Unknown,VERB,False,7
record,B1,NOUN,False,17
curious,A2,ADJ,False,10
deal,B1,VERB,False,35
prosperity,A1,NOUN,False,1
merry,B2,ADJ,False,233
dress,A1,VERB,False,3
bright,B1,ADJ,False,66
colour,B1,NOUN,False,13
notably,Advanced / Unknown,ADV,False,1
fond,A2,ADJ,False,16
yellow,C1,NOUN,False,34
green,A1,ADJ,False,118
wear,B2,VERB,False,38
shoe,A1,NOUN,False,5
tough,B1,ADJ,False,8
leathery,Advanced / Unknown,ADJ,False,1
sol,Advanced / Unknown,NOUN,False,1
clothe,Advanced / Unknown,VERB,False,43
thick,B2,ADJ,False,40
curling,Advanced / Unknown,NOUN,False,2
hair,A1,NOUN,False,44
head,A1,NOUN,False,131
commonly,B1,ADV,False,2
brown,A1,ADJ,False,31
thus,B2,ADV,True,18
craft,A2,NOUN,False,11
practise,B2,VERB,False,1
among,A2,ADP,True,104
finger,A2,NOUN,False,51
useful,A2,ADJ,False,11
comely,Advanced / Unknown,ADJ,False,1
face,A2,NOUN,False,132
natured,Advanced / Unknown,ADJ,False,1
beautiful,A2,ADJ,False,20
broad,A2,ADJ,False,33
cheeked,Advanced / Unknown,ADJ,False,1
mouth,B2,NOUN,False,23
apt,C1,ADJ,False,2
laughter,B2,NOUN,False,19
eat,B1,VERB,False,53
drinking,Advanced / Unknown,NOUN,False,6
laugh,A2,VERB,False,83
drink,B1,VERB,False,41
heartily,Advanced / Unknown,ADV,False,1
simple,B2,ADJ,False,11
jest,Tolkien Lore (Names/Places),NOUN,False,4
six,B1,NUM,True,13
meal,B2,NOUN,False,26
hospitable,B2,ADJ,False,1
delighted,A2,ADJ,False,8
party,A2,NOUN,False,42
give,B2,VERB,False,178
freely,B2,ADV,False,5
eagerly,B2,ADV,False,10
accept,B1,VERB,False,8
plain,B2,ADJ,False,47
estrangement,Advanced / Unknown,NOUN,False,2
relative,B1,NOUN,False,7
near,A2,ADV,False,154
elves,Tolkien Lore (Names/Places),PROPN,False,161
dwarves,Tolkien Lore (Names/Places),PROPN,False,22
speak,B1,VERB,False,233
language,A2,NOUN,False,21
men,Tolkien Lore (Names/Places),PROPN,False,72
fashion,A1,NOUN,False,15
exactly,B1,ADV,False,5
relationship,B1,NOUN,False,2
lie,A2,VERB,False,204
lose,A2,VERB,False,76
preserve,B1,VERB,False,10
vanish,A2,VERB,False,59
tradition,B1,NOUN,False,4
mention,B2,VERB,False,17
clear,A1,ADJ,False,131
quietly,B1,ADV,False,25
aware,A2,ADJ,False,24
strange,B1,ADJ,False,87
creature,A2,NOUN,False,32
count,B1,NOUN,False,20
importance,B2,NOUN,False,5
heir,Advanced / Unknown,NOUN,False,22
suddenly,A2,ADV,False,193
renowned,Advanced / Unknown,ADJ,False,3
trouble,B2,VERB,False,52
counsel,A2,NOUN,False,26
wise,C1,PROPN,False,54
land,A2,NOUN,False,247
region,A2,NOUN,False,13
doubtless,Advanced / Unknown,ADV,False,6
linger,A1,VERB,False,9
north,A2,PROPN,False,108
west,A1,PROPN,False,110
sea,B1,PROPN,False,69
home,A2,NOUN,False,78
knowledge,B2,NOUN,False,17
learning,A1,NOUN,False,2
genealogical,Advanced / Unknown,ADJ,False,2
general,A2,ADJ,False,5
family,A2,NOUN,False,37
gather,B2,VERB,False,38
distant,A1,ADJ,False,32
settlement,A1,NOUN,False,3
hardly,A1,ADV,False,48
wandering,Tolkien Lore (Names/Places),PROPN,False,2
peculiar,A2,ADJ,False,9
word,C1,NOUN,False,177
custom,B2,NOUN,False,12
westward,B2,ADV,False,31
dwell,Advanced / Unknown,VERB,False,53
upper,A1,ADJ,False,11
vale,Tolkien Lore (Names/Places),NOUN,False,9
anduin,Tolkien Lore (Names/Places),PROPN,False,22
eave,Advanced / Unknown,NOUN,False,6
greenwood,Tolkien Lore (Names/Places),PROPN,False,2
misty,B1,PROPN,False,26
mountains,Tolkien Lore (Names/Places),PROPN,False,54
why,C1,SCONJ,True,110
undertake,B1,VERB,False,1
perilous,Advanced / Unknown,ADJ,False,16
crossing,B1,NOUN,False,7
mountain,B2,NOUN,False,120
eriador,Tolkien Lore (Names/Places),PROPN,False,6
certain,B2,ADJ,False,22
multiplying,Advanced / Unknown,NOUN,False,1
fall,B1,VERB,False,301
forest,B2,NOUN,False,72
darken,Advanced / Unknown,VERB,False,7
mirkwood,Tolkien Lore (Names/Places),PROPN,False,26
divide,B2,VERB,False,10
somewhat,B1,ADV,False,7
breed,A1,NOUN,False,5
harfoot,Tolkien Lore (Names/Places),NOUN,False,3
stoors,Tolkien Lore (Names/Places),PROPN,False,4
fallohides,Tolkien Lore (Names/Places),PROPN,False,3
harfoots,Tolkien Lore (Names/Places),PROPN,False,3
skin,B2,NOUN,False,14
